Linux 6.17.0-14-generic (IS-WiN-PC14) 	03/06/2026 	_x86_64_	(32 CPU)

05:36:16 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:36:17 PM  all   11.06    0.00    1.38    0.06    0.00    0.06    0.00    0.00    0.00   87.43
05:36:17 PM    0   10.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   89.90
05:36:17 PM    1    8.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.92
05:36:17 PM    2    9.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.91
05:36:17 PM    3    8.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
05:36:17 PM    4   16.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   83.00
05:36:17 PM    5   33.33    0.00   16.16    0.00    0.00    0.00    0.00    0.00    0.00   50.51
05:36:17 PM    6   30.69    0.00    9.90    0.00    0.00    1.98    0.00    0.00    0.00   57.43
05:36:17 PM    7    8.91    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   90.10
05:36:17 PM    8   11.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   85.00
05:36:17 PM    9    8.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
05:36:17 PM   10   11.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
05:36:17 PM   11    8.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.92
05:36:17 PM   12    9.90    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.10
05:36:17 PM   13    9.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   90.00
05:36:17 PM   14    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
05:36:17 PM   15    8.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.92
05:36:17 PM   16   11.11    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   87.88
05:36:17 PM   17    9.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.91
05:36:17 PM   18   10.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
05:36:17 PM   19   10.10    0.00    1.01    1.01    0.00    0.00    0.00    0.00    0.00   87.88
05:36:17 PM   20    9.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.91
05:36:17 PM   21   11.88    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   86.14
05:36:17 PM   22    9.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.91
05:36:17 PM   23    8.08    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   90.91
05:36:17 PM   24    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
05:36:17 PM   25    9.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
05:36:17 PM   26   11.11    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   86.87
05:36:17 PM   27    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
05:36:17 PM   28   11.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
05:36:17 PM   29    8.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.92
05:36:17 PM   30    9.90    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   89.11
05:36:17 PM   31   10.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00

05:36:17 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:36:18 PM  all    4.04    0.00    0.69    0.00    0.00    0.00    0.00    0.00    0.00   95.27
05:36:18 PM    0    1.02    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   97.96
05:36:18 PM    1    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:36:18 PM    2    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
05:36:18 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:36:18 PM    4    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
05:36:18 PM    5   77.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   21.00
05:36:18 PM    6    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
05:36:18 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:36:18 PM    8    4.04    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.96
05:36:18 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
