Linux 6.17.0-14-generic (IS-WiN-PC14) 	03/06/2026 	_x86_64_	(32 CPU)

05:36:31 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:36:32 PM  all   10.85    0.00    1.22    0.00    0.00    0.00    0.00    0.00    0.00   87.92
05:36:32 PM    0   10.20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   89.80
05:36:32 PM    1    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
05:36:32 PM    2   10.10    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   88.89
05:36:32 PM    3    8.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.09
05:36:32 PM    4   30.30    0.00   23.23    0.00    0.00    0.00    0.00    0.00    0.00   46.46
05:36:32 PM    5    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
05:36:32 PM    6   16.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   83.67
05:36:32 PM    7   26.00    0.00    6.00    0.00    0.00    0.00    0.00    0.00    0.00   68.00
05:36:32 PM    8   14.14    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   84.85
05:36:32 PM    9    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
05:36:32 PM   10   11.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   88.89
05:36:32 PM   11    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
05:36:32 PM   12   10.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
05:36:32 PM   13    8.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.92
05:36:32 PM   14    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
05:36:32 PM   15    8.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.92
05:36:32 PM   16    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
05:36:32 PM   17    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
05:36:32 PM   18    8.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.92
05:36:32 PM   19   10.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
05:36:32 PM   20    9.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.91
05:36:32 PM   21   11.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
05:36:32 PM   22    9.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.91
05:36:32 PM   23    9.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.91
05:36:32 PM   24    9.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.91
05:36:32 PM   25    9.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
05:36:32 PM   26    9.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.91
05:36:32 PM   27    9.90    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   89.11
05:36:32 PM   28    8.91    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   90.10
05:36:32 PM   29   10.89    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   88.12
05:36:32 PM   30    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
05:36:32 PM   31    9.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00

05:36:32 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:36:33 PM  all    4.14    0.00    0.56    0.00    0.00    0.00    0.00    0.00    0.00   95.30
05:36:33 PM    0    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
05:36:33 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:36:33 PM    2    3.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
05:36:33 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:36:33 PM    4   17.17    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   81.82
05:36:33 PM    5   61.62    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   38.38
05:36:33 PM    6    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
05:36:33 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:36:33 PM    8    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
05:36:33 PM    9    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:36:33 PM   10    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:36:33 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:36:33 PM   12    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
05:36:33 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:36:33 PM   14    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
05:36:33 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:36:33 PM   16    5.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   93.00
05:36:33 PM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:36:33 PM   18    1.98    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   96.04
05:36:33 PM   19    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.97
05:36:33 PM   20    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
05:36:33 PM   21    4.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
05:36:33 PM   22    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
05:36:33 PM   23    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
05:36:33 PM   24    3.96    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.04
05:36:33 PM   25    4.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
05:36:33 PM   26    4.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
05:36:33 PM   27    2.04    0.00    1.02    0.00    0.00    0.00    0.00    0.00    0.00   96.94
05:36:33 PM   28    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
05:36:33 PM   29    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
05:36:33 PM   30    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
05:36:33 PM   31    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97

05:36:33 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:36:34 PM  all   41.37    0.00    1.12    0.06    0.00    0.00    0.00    0.00    0.00   57.45
05:36:34 PM    0   47.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   52.00
05:36:34 PM    1   39.39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   60.61
05:36:34 PM    2   40.40    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   58.59
05:36:34 PM    3   38.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   61.00
05:36:34 PM    4   79.21    0.00    3.96    0.00    0.00    0.00    0.00    0.00    0.00   16.83
05:36:34 PM    5   38.61    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   60.40
05:36:34 PM    6   42.42    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   54.55
05:36:34 PM    7   39.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   61.00
05:36:34 PM    8   39.39    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   59.60
05:36:34 PM    9   38.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   61.00
05:36:34 PM   10   39.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   61.00
05:36:34 PM   11   39.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   61.00
05:36:34 PM   12   40.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   59.00
05:36:34 PM   13   38.61    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   61.39
05:36:34 PM   14   43.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   56.00
05:36:34 PM   15   38.61    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   60.40
05:36:34 PM   16   41.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   57.00
05:36:34 PM   17   41.58    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   57.43
05:36:34 PM   18   41.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   59.00
05:36:34 PM   19   40.59    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   58.42
05:36:34 PM   20   38.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   59.00
05:36:34 PM   21   40.59    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   58.42
05:36:34 PM   22   38.61    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   59.41
05:36:34 PM   23   42.57    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   55.45
05:36:34 PM   24   38.38    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   60.61
05:36:34 PM   25   38.38    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   58.59
05:36:34 PM   26   39.39    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   60.61
05:36:34 PM   27   40.59    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   58.42
05:36:34 PM   28   40.78    0.00    1.94    0.97    0.00    0.00    0.00    0.00    0.00   56.31
