Linux 6.17.0-14-generic (IS-WiN-PC14) 	03/06/2026 	_x86_64_	(32 CPU)

05:36:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:36:57 PM  all   12.80    0.00    1.44    0.00    0.00    0.00    0.00    0.00    0.00   85.75
05:36:57 PM    0    9.28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.72
05:36:57 PM    1    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
05:36:57 PM    2    9.09    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   89.90
05:36:57 PM    3    8.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.92
05:36:57 PM    4   26.00    0.00   13.00    0.00    0.00    0.00    0.00    0.00    0.00   61.00
05:36:57 PM    5   34.00    0.00    9.00    0.00    0.00    0.00    0.00    0.00    0.00   57.00
05:36:57 PM    6   31.00    0.00    7.00    0.00    0.00    0.00    0.00    0.00    0.00   62.00
05:36:57 PM    7   43.43    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   55.56
05:36:57 PM    8    9.90    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   89.11
05:36:57 PM    9    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
05:36:57 PM   10    9.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.91
05:36:57 PM   11    8.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.92
05:36:57 PM   12   10.10    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   88.89
05:36:57 PM   13    8.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.09
05:36:57 PM   14   13.13    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   83.84
05:36:57 PM   15    8.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
05:36:57 PM   16   11.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
