procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 53702628 636628 5721452    0    0   514   206 25847    4 59  1 40  0  0  0
 1  0      0 52554456 636628 5731820    0    0     0     0 17486 12685 13  2 86  0  0  0
 1  0      0 52397920 636628 5731920    0    0     0   564 14769 15984  7  1 92  0  0  0
22  0      0 52238008 636628 5740344    0    0     0    12 25533 43804 61  1 38  0  0  0
 5  0      0 52236388 636628 5740360    0    0     0     0 34015 60114 90  1  9  0  0  0
36  0      0 52210164 636644 5742424    0    0     0   392 33513 59312 90  1  9  0  0  0
 3  0      0 52057964 636648 5806192    0    0     4   708 29771 47421 68  1 31  0  0  0
 1  0      0 53723460 636648 5711848    0    0     0   568 15027 24691  5  1 94  0  0  0
