timestamp,host,label,k,n,rate,m,num_codewords,ebno_db,num_iter,repeat,cpu_latency_s,cpu_throughput_mbps,gpu_latency_s,gpu_throughput_mbps,latency_speedup_cpu_over_gpu,throughput_speedup_gpu_over_cpu
2026-03-04T14:15:46,IS-WiN-PC14,rep1_N1_I4,512,1024,0.5,4,1,4.0,4,10,0.000845301803201437,0.605700825505029,0.0017537447158247233,0.291946710020007,0.48199820394265414,0.48199820394265425
2026-03-04T14:15:50,IS-WiN-PC14,rep1_N1_I6,512,1024,0.5,4,1,4.0,6,10,0.0011925971833989025,0.42931511756618423,0.002451838506385684,0.20882288889195721,0.48640935375345734,0.4864093537534573
2026-03-04T14:15:54,IS-WiN-PC14,rep1_N1_I8,512,1024,0.5,4,1,4.0,8,10,0.00140464729629457,0.36450431460669536,0.0031071623088791966,0.16478057761478404,0.4520675641180936,0.4520675641180937
2026-03-04T14:15:58,IS-WiN-PC14,rep1_N1_I10,512,1024,0.5,4,1,4.0,10,10,0.0018007823964580894,0.28432086020334224,0.003745107492431998,0.13671169680299813,0.48083597068897405,0.480835970688974
2026-03-04T14:16:02,IS-WiN-PC14,rep1_N1_I12,512,1024,0.5,4,1,4.0,12,10,0.0021758902817964553,0.23530598223789267,0.004487373400479555,0.11409792640507335,0.4848917367928247,0.48489173679282477
2026-03-04T14:16:06,IS-WiN-PC14,rep1_N1_I14,512,1024,0.5,4,1,4.0,14,10,0.002367704617790878,0.21624319019899857,0.004652373609133065,0.11005135077606275,0.5089240066925927,0.5089240066925927
2026-03-04T14:16:10,IS-WiN-PC14,rep1_N1_I16,512,1024,0.5,4,1,4.0,16,10,0.002767701889388263,0.18499102159921055,0.004939155885949731,0.10366143766720769,0.5603592907973328,0.5603592907973327
2026-03-04T14:16:14,IS-WiN-PC14,rep1_N1_I18,512,1024,0.5,4,1,4.0,18,10,0.0029298955807462333,0.17475025504820058,0.0051952556939795615,0.09855145351042548,0.5639559924146748,0.5639559924146748
2026-03-04T14:16:18,IS-WiN-PC14,rep1_N1_I20,512,1024,0.5,4,1,4.0,20,10,0.0034193858969956636,0.14973448900571673,0.0060968901962041855,0.08397723815310992,0.5608409840027153,0.5608409840027153
2026-03-04T14:16:22,IS-WiN-PC14,rep1_N1_I22,512,1024,0.5,4,1,4.0,22,10,0.0036479934817180036,0.14035112797374744,0.007462045410647988,0.06861389496094462,0.4888731280718941,0.4888731280718941
2026-03-04T14:16:25,IS-WiN-PC14,rep1_N2_I4,512,1024,0.5,4,2,4.0,4,10,0.0013191960984840988,0.776230312670488,0.002037132089026272,0.5026674536796782,0.6475751403605158,0.6475751403605157
2026-03-04T14:16:29,IS-WiN-PC14,rep1_N2_I6,512,1024,0.5,4,2,4.0,6,10,0.001845934707671404,0.554732513422291,0.0024664141004905106,0.41517764587720735,0.7484285413809026,0.7484285413809028
2026-03-04T14:16:33,IS-WiN-PC14,rep1_N2_I8,512,1024,0.5,4,2,4.0,8,10,0.002315446105785668,0.44224739130887286,0.0030916234944015743,0.33121756315227163,0.7489418132507284,0.7489418132507283
2026-03-04T14:16:37,IS-WiN-PC14,rep1_N2_I10,512,1024,0.5,4,2,4.0,10,10,0.0027650531847029924,0.37033645705805573,0.0037588030099868774,0.2724271522820705,0.7356206689620177,0.7356206689620176
2026-03-04T14:16:41,IS-WiN-PC14,rep1_N2_I12,512,1024,0.5,4,2,4.0,12,10,0.003254025895148516,0.31468710852200027,0.004428341798484325,0.23123779658347085,0.7348181425973626,0.7348181425973624
2026-03-04T14:16:45,IS-WiN-PC14,rep1_N2_I14,512,1024,0.5,4,2,4.0,14,10,0.003644546307623386,0.28096775663354157,0.0047970215091481805,0.21346579289819242,0.759751921202154,0.7597519212021538
2026-03-04T14:16:49,IS-WiN-PC14,rep1_N2_I16,512,1024,0.5,4,2,4.0,16,10,0.004149428592063487,0.24678096689230428,0.00476428410038352,0.2149326065415723,0.8709448270999335,0.8709448270999333
2026-03-04T14:16:52,IS-WiN-PC14,rep1_N2_I18,512,1024,0.5,4,2,4.0,18,10,0.004947028402239084,0.2069929494515385,0.0052788026165217165,0.1939833849432183,0.9371497215591585,0.9371497215591585
2026-03-04T14:16:56,IS-WiN-PC14,rep1_N2_I20,512,1024,0.5,4,2,4.0,20,10,0.005180937889963389,0.19764761163875602,0.006188266701065004,0.16547444534408465,0.8372195543982851,0.8372195543982852
2026-03-04T14:17:00,IS-WiN-PC14,rep1_N2_I22,512,1024,0.5,4,2,4.0,22,10,0.005639217211864889,0.18158548634117308,0.0072511965176090595,0.14121807311569648,0.7776947153715137,0.7776947153715137
2026-03-04T14:17:04,IS-WiN-PC14,rep1_N4_I4,512,1024,0.5,4,4,4.0,4,10,0.001466037193313241,1.3969631939361131,0.0014872391941025854,1.3770481628785902,0.9857440545721108,0.9857440545721109
2026-03-04T14:17:08,IS-WiN-PC14,rep1_N4_I6,512,1024,0.5,4,4,4.0,6,10,0.002042384701780975,1.0027493832156735,0.0025452391942963003,0.8046395028763591,0.8024333062125608,0.8024333062125609
2026-03-04T14:17:12,IS-WiN-PC14,rep1_N4_I8,512,1024,0.5,4,4,4.0,8,10,0.002526483288966119,0.8106129215040552,0.0030934558948501945,0.6620427346028729,0.8167187038845654,0.8167187038845654
2026-03-04T14:17:16,IS-WiN-PC14,rep1_N4_I10,512,1024,0.5,4,4,4.0,10,10,0.003167264582589269,0.646614751182467,0.0036649456014856696,0.558807748516048,0.8642050734137352,0.8642050734137351
2026-03-04T14:17:20,IS-WiN-PC14,rep1_N4_I12,512,1024,0.5,4,4,4.0,12,10,0.003759264200925827,0.5447874611993542,0.004321214999072254,0.4739407783319499,0.8699553717491318,0.8699553717491318
2026-03-04T14:17:24,IS-WiN-PC14,rep1_N4_I14,512,1024,0.5,4,4,4.0,14,10,0.004304702416993678,0.47575878692917506,0.0047557168174535034,0.43063960252717953,0.9051637391855208,0.9051637391855207
2026-03-04T14:17:28,IS-WiN-PC14,rep1_N4_I16,512,1024,0.5,4,4,4.0,16,10,0.004827034403569996,0.42427706719581953,0.005379127711057663,0.38073087496881813,0.8973637851444295,0.8973637851444296
