timestamp, index, name, pstate, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pcie.link.gen.current, pcie.link.gen.max, pcie.link.width.current, pcie.link.width.max
2026/03/06 17:36:36.747, 0, NVIDIA GeForce RTX 4090, P0, 70.51 W, 42, 2730 MHz, 10501 MHz, 1 %, 0 %, 454 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:36.950, 0, NVIDIA GeForce RTX 4090, P0, 70.51 W, 42, 2730 MHz, 10501 MHz, 1 %, 0 %, 450 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:37.151, 0, NVIDIA GeForce RTX 4090, P0, 70.51 W, 42, 2730 MHz, 10501 MHz, 1 %, 0 %, 469 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:37.353, 0, NVIDIA GeForce RTX 4090, P0, 70.51 W, 42, 2730 MHz, 10501 MHz, 1 %, 0 %, 22540 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:37.553, 0, NVIDIA GeForce RTX 4090, P2, 71.49 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22540 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:37.753, 0, NVIDIA GeForce RTX 4090, P2, 71.49 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22542 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:37.953, 0, NVIDIA GeForce RTX 4090, P2, 71.49 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22538 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:38.154, 0, NVIDIA GeForce RTX 4090, P2, 67.58 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22538 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:38.354, 0, NVIDIA GeForce RTX 4090, P2, 67.58 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22576 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:38.554, 0, NVIDIA GeForce RTX 4090, P2, 61.43 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22576 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:38.754, 0, NVIDIA GeForce RTX 4090, P2, 61.43 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22605 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:38.954, 0, NVIDIA GeForce RTX 4090, P2, 61.43 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22607 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:39.155, 0, NVIDIA GeForce RTX 4090, P2, 60.54 W, 41, 2520 MHz, 10251 MHz, 4 %, 0 %, 22607 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:39.355, 0, NVIDIA GeForce RTX 4090, P2, 60.54 W, 41, 2520 MHz, 10251 MHz, 4 %, 0 %, 22609 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:39.556, 0, NVIDIA GeForce RTX 4090, P2, 60.38 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22609 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:39.756, 0, NVIDIA GeForce RTX 4090, P2, 60.38 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22609 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:39.957, 0, NVIDIA GeForce RTX 4090, P2, 60.38 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22533 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:40.157, 0, NVIDIA GeForce RTX 4090, P2, 59.93 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22533 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:40.358, 0, NVIDIA GeForce RTX 4090, P2, 59.93 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22543 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:40.558, 0, NVIDIA GeForce RTX 4090, P2, 59.74 W, 41, 2520 MHz, 10251 MHz, 5 %, 0 %, 22546 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:40.758, 0, NVIDIA GeForce RTX 4090, P2, 59.74 W, 41, 2520 MHz, 10251 MHz, 5 %, 0 %, 22546 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:40.958, 0, NVIDIA GeForce RTX 4090, P2, 59.74 W, 41, 2520 MHz, 10251 MHz, 5 %, 0 %, 22534 MiB, 24564 MiB, 4, 4, 16, 16
