timestamp, index, name, pstate, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pcie.link.gen.current, pcie.link.gen.max, pcie.link.width.current, pcie.link.width.max
2026/03/06 17:36:04.718, 0, NVIDIA GeForce RTX 4090, P0, 70.15 W, 41, 2730 MHz, 10501 MHz, 1 %, 0 %, 405 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:04.920, 0, NVIDIA GeForce RTX 4090, P0, 70.15 W, 41, 2730 MHz, 10501 MHz, 1 %, 0 %, 405 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:05.121, 0, NVIDIA GeForce RTX 4090, P0, 70.15 W, 41, 2730 MHz, 10501 MHz, 1 %, 0 %, 422 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:05.321, 0, NVIDIA GeForce RTX 4090, P0, 70.15 W, 41, 2730 MHz, 10501 MHz, 1 %, 0 %, 22539 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:05.522, 0, NVIDIA GeForce RTX 4090, P2, 69.95 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22539 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:05.722, 0, NVIDIA GeForce RTX 4090, P2, 69.95 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:05.922, 0, NVIDIA GeForce RTX 4090, P2, 69.95 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:06.122, 0, NVIDIA GeForce RTX 4090, P2, 65.76 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:06.322, 0, NVIDIA GeForce RTX 4090, P2, 65.76 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:06.523, 0, NVIDIA GeForce RTX 4090, P2, 60.76 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:06.723, 0, NVIDIA GeForce RTX 4090, P2, 60.76 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:06.923, 0, NVIDIA GeForce RTX 4090, P2, 60.76 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:07.124, 0, NVIDIA GeForce RTX 4090, P2, 60.44 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:07.324, 0, NVIDIA GeForce RTX 4090, P2, 60.44 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:07.528, 0, NVIDIA GeForce RTX 4090, P2, 59.94 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:07.729, 0, NVIDIA GeForce RTX 4090, P2, 59.94 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:07.930, 0, NVIDIA GeForce RTX 4090, P2, 59.94 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:08.130, 0, NVIDIA GeForce RTX 4090, P2, 59.74 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:08.331, 0, NVIDIA GeForce RTX 4090, P2, 59.74 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:08.531, 0, NVIDIA GeForce RTX 4090, P2, 59.76 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:08.732, 0, NVIDIA GeForce RTX 4090, P2, 59.76 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:08.933, 0, NVIDIA GeForce RTX 4090, P2, 59.76 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:09.134, 0, NVIDIA GeForce RTX 4090, P2, 59.83 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:09.335, 0, NVIDIA GeForce RTX 4090, P2, 59.83 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:09.536, 0, NVIDIA GeForce RTX 4090, P2, 59.80 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:09.736, 0, NVIDIA GeForce RTX 4090, P2, 59.80 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:09.937, 0, NVIDIA GeForce RTX 4090, P2, 59.80 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:10.138, 0, NVIDIA GeForce RTX 4090, P2, 59.90 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:10.339, 0, NVIDIA GeForce RTX 4090, P2, 59.90 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:10.539, 0, NVIDIA GeForce RTX 4090, P2, 59.88 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:10.740, 0, NVIDIA GeForce RTX 4090, P2, 59.88 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:10.940, 0, NVIDIA GeForce RTX 4090, P2, 59.88 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:11.141, 0, NVIDIA GeForce RTX 4090, P2, 59.86 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:11.342, 0, NVIDIA GeForce RTX 4090, P2, 59.86 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:11.543, 0, NVIDIA GeForce RTX 4090, P2, 59.76 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:11.743, 0, NVIDIA GeForce RTX 4090, P2, 59.76 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:11.943, 0, NVIDIA GeForce RTX 4090, P2, 59.76 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:12.143, 0, NVIDIA GeForce RTX 4090, P2, 59.87 W, 41, 2520 MHz, 10251 MHz, 2 %, 0 %, 22534 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:12.344, 0, NVIDIA GeForce RTX 4090, P2, 59.87 W, 41, 2520 MHz, 10251 MHz, 2 %, 0 %, 22534 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:12.546, 0, NVIDIA GeForce RTX 4090, P2, 60.98 W, 41, 2520 MHz, 10251 MHz, 2 %, 0 %, 22534 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:12.747, 0, NVIDIA GeForce RTX 4090, P2, 60.98 W, 41, 2520 MHz, 10251 MHz, 2 %, 0 %, 22542 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:12.947, 0, NVIDIA GeForce RTX 4090, P2, 60.98 W, 41, 2520 MHz, 10251 MHz, 2 %, 0 %, 22542 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:13.148, 0, NVIDIA GeForce RTX 4090, P2, 61.96 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22551 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:13.350, 0, NVIDIA GeForce RTX 4090, P2, 61.96 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22551 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:13.550, 0, NVIDIA GeForce RTX 4090, P2, 61.32 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22557 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:13.751, 0, NVIDIA GeForce RTX 4090, P2, 61.32 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22557 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:13.951, 0, NVIDIA GeForce RTX 4090, P2, 61.32 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22586 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:14.151, 0, NVIDIA GeForce RTX 4090, P2, 59.72 W, 41, 2520 MHz, 10251 MHz, 2 %, 0 %, 22588 MiB, 24564 MiB, 4, 4, 16, 16
