procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 53920144 636252 5692976    0    0   517   206 25886    4 59  1 40  0  0  0
 1  0      0 52864084 636260 5703360    0    0     0   184 15355 10466 11  2 87  0  0  0
 1  0      0 52724932 636268 5703472    0    0     0  1028 9893 10001  4  1 95  0  0  0
35  0      0 52585448 636268 5703708    0    0     0    12 25369 44217 66  1 33  0  0  0
24  0      0 52558300 636268 5703728    0    0     0  2644 32975 58871 90  1  9  0  0  0
29  0      0 52552588 636284 5703852    0    0     0   328 33098 59287 90  1  9  0  0  0
32  0      0 52528724 636284 5703860    0    0     0     0 32931 58420 90  1  9  0  0  0
33  0      0 52526556 636284 5703860    0    0     0   236 32975 57767 90  1  9  0  0  0
 4  0      0 52535248 636284 5706052    0    0     0     0 34162 61205 88  2 10  0  0  0
 2  0      0 52515240 636284 5732492    0    0     0     0 32736 53152 80  1 19  0  0  0
 2  0      0 52282412 636340 5803440    0    0     0   564 23395 54307  7  1 92  0  0  0
