timestamp,host,label,k,n,rate,m,num_codewords,ebno_db,num_iter,repeat,cpu_latency_s,cpu_throughput_mbps,gpu_latency_s,gpu_throughput_mbps,latency_speedup_cpu_over_gpu,throughput_speedup_gpu_over_cpu
2026-03-05T23:07:11,IS-WiN-PC14,rep1_N1_I4,512,1024,0.5,4,1,4.0,4,10,0.0009646885000620387,0.5307412703344899,0.0018182983000770037,0.28158196043977884,0.5305446856663644,0.5305446856663644
2026-03-05T23:07:15,IS-WiN-PC14,rep1_N1_I6,512,1024,0.5,4,1,4.0,6,10,0.0011859569999614905,0.4317188565998812,0.002537400900018838,0.20178127941713855,0.46739047028504077,0.46739047028504077
2026-03-05T23:07:26,IS-WiN-PC14,rep1_N1_I8,512,1024,0.5,4,1,4.0,8,10,0.0016173293000065314,0.3165712758669074,0.0031834544000048483,0.16083157968250472,0.5080422386461915,0.5080422386461916
2026-03-05T23:07:30,IS-WiN-PC14,rep1_N1_I10,512,1024,0.5,4,1,4.0,10,10,0.0018048214000373265,0.28368457953203075,0.00365507289998277,0.14007928542339432,0.4937853360040601,0.4937853360040601
2026-03-05T23:07:34,IS-WiN-PC14,rep1_N1_I12,512,1024,0.5,4,1,4.0,12,10,0.002169181400040543,0.23603374065001226,0.0044559875999766515,0.11490157647716136,0.4868014893156141,0.48680148931561407
2026-03-05T23:07:38,IS-WiN-PC14,rep1_N1_I14,512,1024,0.5,4,1,4.0,14,10,0.00259266729999581,0.1974800237580917,0.004565768799966463,0.11213883629056311,0.5678490115432157,0.5678490115432155
2026-03-05T23:07:42,IS-WiN-PC14,rep1_N1_I16,512,1024,0.5,4,1,4.0,16,10,0.002795068999967043,0.1831797354577068,0.0047473179000007805,0.10785037168037889,0.5887680283569346,0.5887680283569345
2026-03-05T23:07:46,IS-WiN-PC14,rep1_N1_I18,512,1024,0.5,4,1,4.0,18,10,0.0030586930999561444,0.16739175303574622,0.005535382000016398,0.09249587471984468,0.5525712769140564,0.5525712769140565
2026-03-05T23:07:50,IS-WiN-PC14,rep1_N1_I20,512,1024,0.5,4,1,4.0,20,10,0.0035752955000134534,0.14320494627592975,0.006079850700007228,0.08421259423350501,0.5880564632959167,0.5880564632959168
2026-03-05T23:07:55,IS-WiN-PC14,rep1_N1_I22,512,1024,0.5,4,1,4.0,22,10,0.003906689699942944,0.13105724777872108,0.007071396099945559,0.07240437287962723,0.5524637065618515,0.5524637065618515
2026-03-05T23:07:59,IS-WiN-PC14,rep1_N2_I4,512,1024,0.5,4,2,4.0,4,10,0.0014930927000023075,0.6858247984190248,0.001808357000027172,0.5662598701388131,0.8256625765708168,0.8256625765708169
2026-03-05T23:08:03,IS-WiN-PC14,rep1_N2_I6,512,1024,0.5,4,2,4.0,6,10,0.0020292207999773383,0.5046271948382531,0.002576766600031988,0.3973972652343787,0.7875066371755003,0.7875066371755003
2026-03-05T23:08:07,IS-WiN-PC14,rep1_N2_I8,512,1024,0.5,4,2,4.0,8,10,0.0028539691000332825,0.3587985588169327,0.0032179299999370416,0.3182169904317479,0.8868959548806593,0.8868959548806593
2026-03-05T23:08:11,IS-WiN-PC14,rep1_N2_I10,512,1024,0.5,4,2,4.0,10,10,0.0033795840000493626,0.30299587167682274,0.003670205300022644,0.2790034660986627,0.9208160644388235,0.9208160644388236
2026-03-05T23:08:15,IS-WiN-PC14,rep1_N2_I12,512,1024,0.5,4,2,4.0,12,10,0.0038526352000189945,0.2657920999099399,0.004355803299949912,0.2350886689515514,0.8844832823519134,0.8844832823519135
2026-03-05T23:08:20,IS-WiN-PC14,rep1_N2_I14,512,1024,0.5,4,2,4.0,14,10,0.004443882400028088,0.2304291400675967,0.004577184499976283,0.22371831417442445,0.9708768348864053,0.9708768348864053
2026-03-05T23:08:24,IS-WiN-PC14,rep1_N2_I16,512,1024,0.5,4,2,4.0,16,10,0.005153398099992046,0.19870384164607438,0.0047836190999987595,0.21406386641450312,1.0773010961498548,1.0773010961498548
