Linux 6.17.0-14-generic (IS-WiN-PC14) 	03/06/2026 	_x86_64_	(32 CPU)

05:35:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:35:57 PM  all   10.95    0.00    1.50    0.00    0.00    0.00    0.00    0.00    0.00   87.55
05:35:57 PM    0    9.09    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   89.90
05:35:57 PM    1    8.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.09
05:35:57 PM    2    9.09    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   89.90
05:35:57 PM    3    9.00    0.00    5.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
05:35:57 PM    4   27.00    0.00   21.00    0.00    0.00    0.00    0.00    0.00    0.00   52.00
05:35:57 PM    5   39.39    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   59.60
05:35:57 PM    6    9.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
05:35:57 PM    7    8.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
05:35:57 PM    8   11.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
05:35:57 PM    9    8.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.92
05:35:57 PM   10    8.08    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   90.91
05:35:57 PM   11    8.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.92
05:35:57 PM   12    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
05:35:57 PM   13    8.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
05:35:57 PM   14   10.00    0.00    4.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
05:35:57 PM   15    8.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.09
05:35:57 PM   16   11.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
05:35:57 PM   17   10.89    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   89.11
05:35:57 PM   18    9.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
05:35:57 PM   19   12.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   86.00
05:35:57 PM   20    8.82    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   90.20
05:35:57 PM   21   10.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   89.90
05:35:57 PM   22   10.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
05:35:57 PM   23   10.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   89.90
05:35:57 PM   24    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
05:35:57 PM   25   11.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   87.00
05:35:57 PM   26   11.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
05:35:57 PM   27    9.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.91
05:35:57 PM   28    9.90    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   89.11
05:35:57 PM   29    9.90    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   88.12
05:35:57 PM   30    9.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.91
05:35:57 PM   31    9.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00

05:35:57 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:35:58 PM  all    4.07    0.00    0.78    0.00    0.00    0.00    0.00    0.00    0.00   95.15
05:35:58 PM    0    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
05:35:58 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:35:58 PM    2    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
05:35:58 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:35:58 PM    4    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:35:58 PM    5   76.77    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   21.21
05:35:58 PM    6    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
05:35:58 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:35:58 PM    8    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
05:35:58 PM    9    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:35:58 PM   10    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
05:35:58 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:35:58 PM   12    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
05:35:58 PM   13    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
05:35:58 PM   14    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
05:35:58 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:35:58 PM   16    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
05:35:58 PM   17    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
05:35:58 PM   18    3.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
05:35:58 PM   19    3.03    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   93.94
05:35:58 PM   20    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
05:35:58 PM   21    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
05:35:58 PM   22    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
05:35:58 PM   23    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
05:35:58 PM   24    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
05:35:58 PM   25    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
05:35:58 PM   26    2.97    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   96.04
05:35:58 PM   27    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:35:58 PM   28    2.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.98
05:35:58 PM   29    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
05:35:58 PM   30    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
05:35:58 PM   31    4.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00

05:35:58 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:35:59 PM  all   70.50    0.00    1.41    0.00    0.00    0.03    0.00    0.00    0.00   28.06
05:35:59 PM    0   67.68    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   31.31
05:35:59 PM    1   70.71    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   28.28
05:35:59 PM    2   69.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   30.00
05:35:59 PM    3   68.69    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   30.30
05:35:59 PM    4   68.69    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   30.30
