timestamp, index, name, pstate, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pcie.link.gen.current, pcie.link.gen.max, pcie.link.width.current, pcie.link.width.max
2026/03/06 17:35:56.453, 0, NVIDIA GeForce RTX 4090, P0, 69.74 W, 41, 2730 MHz, 10501 MHz, 0 %, 0 %, 387 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:56.657, 0, NVIDIA GeForce RTX 4090, P0, 69.74 W, 41, 2730 MHz, 10501 MHz, 0 %, 0 %, 417 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:56.858, 0, NVIDIA GeForce RTX 4090, P0, 69.74 W, 41, 2730 MHz, 10501 MHz, 0 %, 0 %, 448 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:57.058, 0, NVIDIA GeForce RTX 4090, P2, 70.42 W, 41, 2520 MHz, 10251 MHz, 4 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:57.258, 0, NVIDIA GeForce RTX 4090, P2, 70.42 W, 41, 2520 MHz, 10251 MHz, 4 %, 0 %, 22543 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:57.458, 0, NVIDIA GeForce RTX 4090, P2, 70.42 W, 41, 2520 MHz, 10251 MHz, 4 %, 0 %, 22543 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:57.658, 0, NVIDIA GeForce RTX 4090, P2, 66.49 W, 41, 2520 MHz, 10251 MHz, 2 %, 0 %, 22542 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:57.858, 0, NVIDIA GeForce RTX 4090, P2, 66.49 W, 41, 2520 MHz, 10251 MHz, 2 %, 0 %, 22542 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:58.059, 0, NVIDIA GeForce RTX 4090, P2, 61.55 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22542 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:58.259, 0, NVIDIA GeForce RTX 4090, P2, 61.55 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22542 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:58.459, 0, NVIDIA GeForce RTX 4090, P2, 61.55 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22538 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:58.659, 0, NVIDIA GeForce RTX 4090, P2, 61.05 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22538 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:58.860, 0, NVIDIA GeForce RTX 4090, P2, 61.05 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22530 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:59.061, 0, NVIDIA GeForce RTX 4090, P2, 60.62 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22530 MiB, 24564 MiB, 4, 4, 16, 16
