procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 53977436 636208 5692444    0    0   518   205 25891    4 59  1 40  0  0  0
 1  0      0 52831644 636208 5710108    0    0     0     4 15725 12130 11  1 88  0  0  0
 2  0      0 52760240 636208 5707060    0    0     0     0 9945 9778  4  1 95  0  0  0
34  0      0 52634576 636208 5703152    0    0     0     0 27131 48705 71  1 28  0  0  0
 8  0      0 52602472 636240 5702952    0    0     0   548 33096 59646 90  1  9  0  0  0
33  0      0 52582932 636240 5702956    0    0     0     0 32920 59412 90  1  9  0  0  0
 0  0      0 52430736 636240 5768748    0    0     0   564 24571 44383 47  1 52  0  0  0
 0  0      0 54131172 636240 5692932    0    0     0  1396 7242 15148  1  1 98  0  0  0
