timestamp, index, name, pstate, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pcie.link.gen.current, pcie.link.gen.max, pcie.link.width.current, pcie.link.width.max
2026/03/06 17:36:21.260, 0, NVIDIA GeForce RTX 4090, P0, 69.53 W, 41, 2730 MHz, 10501 MHz, 2 %, 0 %, 446 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:21.464, 0, NVIDIA GeForce RTX 4090, P0, 69.53 W, 41, 2730 MHz, 10501 MHz, 2 %, 0 %, 446 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:21.664, 0, NVIDIA GeForce RTX 4090, P0, 69.53 W, 41, 2730 MHz, 10501 MHz, 1 %, 0 %, 457 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:21.864, 0, NVIDIA GeForce RTX 4090, P0, 69.53 W, 41, 2730 MHz, 10501 MHz, 1 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:22.064, 0, NVIDIA GeForce RTX 4090, P2, 66.07 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22540 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:22.265, 0, NVIDIA GeForce RTX 4090, P2, 66.07 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22542 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:22.465, 0, NVIDIA GeForce RTX 4090, P2, 66.07 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22542 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:22.665, 0, NVIDIA GeForce RTX 4090, P2, 61.95 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22503 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:22.865, 0, NVIDIA GeForce RTX 4090, P2, 61.95 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22503 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:23.066, 0, NVIDIA GeForce RTX 4090, P2, 60.39 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22503 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:23.266, 0, NVIDIA GeForce RTX 4090, P2, 60.39 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22503 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:23.466, 0, NVIDIA GeForce RTX 4090, P2, 60.39 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22503 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:23.666, 0, NVIDIA GeForce RTX 4090, P2, 60.54 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22493 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:23.867, 0, NVIDIA GeForce RTX 4090, P2, 60.54 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22493 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:24.067, 0, NVIDIA GeForce RTX 4090, P2, 60.24 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22493 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:24.267, 0, NVIDIA GeForce RTX 4090, P2, 60.24 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22493 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:24.467, 0, NVIDIA GeForce RTX 4090, P2, 60.24 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22493 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:24.668, 0, NVIDIA GeForce RTX 4090, P2, 63.08 W, 42, 2520 MHz, 10251 MHz, 30 %, 3 %, 22486 MiB, 24564 MiB, 4, 4, 16, 16
