timestamp, index, name, pstate, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pcie.link.gen.current, pcie.link.gen.max, pcie.link.width.current, pcie.link.width.max
2026/03/06 17:36:42.936, 0, NVIDIA GeForce RTX 4090, P0, 77.55 W, 42, 2730 MHz, 10501 MHz, 3 %, 0 %, 419 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:43.141, 0, NVIDIA GeForce RTX 4090, P0, 77.55 W, 42, 2730 MHz, 10501 MHz, 3 %, 0 %, 419 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:43.341, 0, NVIDIA GeForce RTX 4090, P0, 77.55 W, 42, 2730 MHz, 10501 MHz, 3 %, 0 %, 446 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:43.541, 0, NVIDIA GeForce RTX 4090, P2, 80.96 W, 42, 2670 MHz, 10251 MHz, 3 %, 0 %, 22538 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:43.742, 0, NVIDIA GeForce RTX 4090, P2, 80.96 W, 42, 2670 MHz, 10251 MHz, 3 %, 0 %, 22538 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:43.942, 0, NVIDIA GeForce RTX 4090, P2, 80.96 W, 42, 2670 MHz, 10251 MHz, 3 %, 0 %, 22533 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:44.142, 0, NVIDIA GeForce RTX 4090, P2, 75.58 W, 41, 2520 MHz, 10251 MHz, 3 %, 0 %, 22531 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:44.342, 0, NVIDIA GeForce RTX 4090, P2, 75.58 W, 41, 2520 MHz, 10251 MHz, 3 %, 0 %, 22531 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:44.543, 0, NVIDIA GeForce RTX 4090, P2, 66.40 W, 41, 2520 MHz, 10251 MHz, 2 %, 0 %, 22531 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:44.743, 0, NVIDIA GeForce RTX 4090, P2, 66.40 W, 41, 2520 MHz, 10251 MHz, 2 %, 0 %, 22531 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:44.943, 0, NVIDIA GeForce RTX 4090, P2, 66.40 W, 41, 2520 MHz, 10251 MHz, 2 %, 0 %, 22521 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:45.143, 0, NVIDIA GeForce RTX 4090, P2, 60.52 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22521 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:45.344, 0, NVIDIA GeForce RTX 4090, P2, 60.52 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22521 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:45.544, 0, NVIDIA GeForce RTX 4090, P2, 60.18 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22521 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:45.744, 0, NVIDIA GeForce RTX 4090, P2, 60.18 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22521 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:45.945, 0, NVIDIA GeForce RTX 4090, P2, 60.18 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22502 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:46.145, 0, NVIDIA GeForce RTX 4090, P2, 59.76 W, 41, 2520 MHz, 10251 MHz, 2 %, 0 %, 22502 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:46.346, 0, NVIDIA GeForce RTX 4090, P2, 59.76 W, 41, 2520 MHz, 10251 MHz, 2 %, 0 %, 22502 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:46.546, 0, NVIDIA GeForce RTX 4090, P2, 59.25 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22502 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:46.747, 0, NVIDIA GeForce RTX 4090, P2, 59.25 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22502 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:46.947, 0, NVIDIA GeForce RTX 4090, P2, 59.25 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22501 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:47.148, 0, NVIDIA GeForce RTX 4090, P2, 59.38 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22501 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:47.348, 0, NVIDIA GeForce RTX 4090, P2, 59.38 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22501 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:47.548, 0, NVIDIA GeForce RTX 4090, P2, 59.46 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22501 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:47.749, 0, NVIDIA GeForce RTX 4090, P2, 59.46 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22501 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:47.949, 0, NVIDIA GeForce RTX 4090, P2, 59.46 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22496 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:48.149, 0, NVIDIA GeForce RTX 4090, P2, 59.79 W, 41, 2520 MHz, 10251 MHz, 2 %, 0 %, 22497 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:48.349, 0, NVIDIA GeForce RTX 4090, P2, 59.79 W, 41, 2520 MHz, 10251 MHz, 2 %, 0 %, 22488 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:48.550, 0, NVIDIA GeForce RTX 4090, P2, 81.86 W, 42, 2730 MHz, 10251 MHz, 1 %, 0 %, 390 MiB, 24564 MiB, 4, 4, 16, 16
