timestamp, index, name, pstate, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pcie.link.gen.current, pcie.link.gen.max, pcie.link.width.current, pcie.link.width.max
2026/03/06 17:35:21.349, 0, NVIDIA GeForce RTX 4090, P0, 68.50 W, 40, 2745 MHz, 10501 MHz, 0 %, 0 %, 446 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:21.552, 0, NVIDIA GeForce RTX 4090, P0, 68.50 W, 40, 2745 MHz, 10501 MHz, 0 %, 0 %, 446 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:21.753, 0, NVIDIA GeForce RTX 4090, P0, 68.50 W, 40, 2745 MHz, 10501 MHz, 0 %, 0 %, 476 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:21.953, 0, NVIDIA GeForce RTX 4090, P0, 68.50 W, 40, 2745 MHz, 10501 MHz, 0 %, 0 %, 22540 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:22.153, 0, NVIDIA GeForce RTX 4090, P2, 65.47 W, 40, 2520 MHz, 10251 MHz, 0 %, 0 %, 22542 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:22.353, 0, NVIDIA GeForce RTX 4090, P2, 65.47 W, 40, 2520 MHz, 10251 MHz, 0 %, 0 %, 22531 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:22.553, 0, NVIDIA GeForce RTX 4090, P2, 61.77 W, 40, 2520 MHz, 10251 MHz, 0 %, 0 %, 22531 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:22.754, 0, NVIDIA GeForce RTX 4090, P2, 61.77 W, 40, 2520 MHz, 10251 MHz, 0 %, 0 %, 22531 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:22.954, 0, NVIDIA GeForce RTX 4090, P2, 61.77 W, 40, 2520 MHz, 10251 MHz, 0 %, 0 %, 22526 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:23.154, 0, NVIDIA GeForce RTX 4090, P2, 59.85 W, 40, 2520 MHz, 10251 MHz, 0 %, 0 %, 22518 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:23.354, 0, NVIDIA GeForce RTX 4090, P2, 59.85 W, 40, 2520 MHz, 10251 MHz, 0 %, 0 %, 22516 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:23.554, 0, NVIDIA GeForce RTX 4090, P2, 59.86 W, 40, 2520 MHz, 10251 MHz, 1 %, 0 %, 22516 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:23.755, 0, NVIDIA GeForce RTX 4090, P2, 59.86 W, 40, 2520 MHz, 10251 MHz, 1 %, 0 %, 22516 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:23.955, 0, NVIDIA GeForce RTX 4090, P2, 59.86 W, 40, 2520 MHz, 10251 MHz, 1 %, 0 %, 22516 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:24.155, 0, NVIDIA GeForce RTX 4090, P2, 59.31 W, 40, 2520 MHz, 10251 MHz, 0 %, 0 %, 22516 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:24.355, 0, NVIDIA GeForce RTX 4090, P2, 59.31 W, 40, 2520 MHz, 10251 MHz, 0 %, 0 %, 22516 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:24.555, 0, NVIDIA GeForce RTX 4090, P2, 63.45 W, 41, 2520 MHz, 10251 MHz, 37 %, 4 %, 22515 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:24.756, 0, NVIDIA GeForce RTX 4090, P2, 63.45 W, 41, 2520 MHz, 10251 MHz, 37 %, 4 %, 22515 MiB, 24564 MiB, 4, 4, 16, 16
