timestamp, utilization.gpu [%], power.draw [W]
2026/03/03 10:56:03.938, 4 %, 8.13 W
2026/03/03 10:56:04.938, 0 %, 10.35 W
2026/03/03 10:56:05.938, 0 %, 10.24 W
2026/03/03 10:56:06.939, 0 %, 10.27 W
2026/03/03 10:56:07.939, 4 %, 11.90 W
2026/03/03 10:56:08.939, 4 %, 11.41 W
2026/03/03 10:56:09.939, 5 %, 11.66 W
2026/03/03 10:56:10.939, 4 %, 10.84 W
2026/03/03 10:56:11.940, 4 %, 10.98 W
2026/03/03 10:56:12.940, 3 %, 10.88 W
2026/03/03 10:56:13.940, 5 %, 10.61 W
2026/03/03 10:56:14.940, 4 %, 10.62 W
2026/03/03 10:56:15.940, 4 %, 10.86 W
2026/03/03 10:56:16.940, 4 %, 10.62 W
2026/03/03 10:56:17.941, 4 %, 10.76 W
2026/03/03 10:56:18.941, 5 %, 11.35 W
2026/03/03 10:56:19.941, 4 %, 10.87 W
2026/03/03 10:56:20.941, 13 %, 11.94 W
2026/03/03 10:56:21.942, 4 %, 10.67 W
2026/03/03 10:56:22.942, 6 %, 8.38 W
2026/03/03 10:56:23.942, 11 %, 5.80 W
2026/03/03 10:56:24.942, 0 %, 10.50 W
2026/03/03 10:56:25.943, 0 %, 10.27 W
2026/03/03 10:56:26.943, 0 %, 10.25 W
2026/03/03 10:56:27.943, 30 %, 11.68 W
2026/03/03 10:56:28.943, 4 %, 11.09 W
2026/03/03 10:56:29.943, 4 %, 11.70 W
2026/03/03 10:56:30.944, 4 %, 11.69 W
2026/03/03 10:56:31.944, 5 %, 11.38 W
2026/03/03 10:56:32.944, 5 %, 10.80 W
2026/03/03 10:56:33.945, 3 %, 10.77 W
2026/03/03 10:56:34.945, 4 %, 10.62 W
2026/03/03 10:56:35.945, 4 %, 10.59 W
2026/03/03 10:56:36.946, 4 %, 10.59 W
2026/03/03 10:56:37.946, 4 %, 10.58 W
2026/03/03 10:56:38.946, 5 %, 11.01 W
2026/03/03 10:56:39.947, 4 %, 11.46 W
2026/03/03 10:56:40.947, 4 %, 10.68 W
2026/03/03 10:56:41.947, 19 %, 11.83 W
2026/03/03 10:56:42.948, 4 %, 10.78 W
2026/03/03 10:56:43.948, 5 %, 8.33 W
2026/03/03 10:56:44.948, 12 %, 5.90 W
2026/03/03 10:56:45.948, 0 %, 10.60 W
2026/03/03 10:56:46.949, 0 %, 10.26 W
2026/03/03 10:56:47.949, 0 %, 10.25 W
2026/03/03 10:56:48.949, 16 %, 11.76 W
2026/03/03 10:56:49.949, 4 %, 11.24 W
2026/03/03 10:56:50.961, 5 %, 11.70 W
2026/03/03 10:56:51.962, 4 %, 11.47 W
2026/03/03 10:56:52.962, 5 %, 10.90 W
2026/03/03 10:56:53.962, 4 %, 10.94 W
2026/03/03 10:56:54.962, 5 %, 10.91 W
2026/03/03 10:56:55.963, 5 %, 10.69 W
2026/03/03 10:56:56.964, 3 %, 10.65 W
2026/03/03 10:56:57.964, 4 %, 10.62 W
2026/03/03 10:56:58.964, 4 %, 10.87 W
2026/03/03 10:56:59.965, 6 %, 10.69 W
2026/03/03 10:57:00.965, 20 %, 11.61 W
2026/03/03 10:57:01.965, 4 %, 10.89 W
2026/03/03 10:57:02.966, 4 %, 10.68 W
2026/03/03 10:57:03.966, 19 %, 11.69 W
2026/03/03 10:57:04.967, 4 %, 10.97 W
2026/03/03 10:57:05.967, 6 %, 8.40 W
2026/03/03 10:57:06.968, 6 %, 5.69 W
2026/03/03 10:57:07.968, 5 %, 5.67 W
2026/03/03 10:57:08.969, 6 %, 5.66 W
2026/03/03 10:57:09.969, 4 %, 9.03 W
2026/03/03 10:57:10.969, 0 %, 10.33 W
2026/03/03 10:57:11.969, 0 %, 10.25 W
2026/03/03 10:57:12.970, 0 %, 10.24 W
2026/03/03 10:57:13.970, 4 %, 11.79 W
2026/03/03 10:57:14.970, 4 %, 11.12 W
2026/03/03 10:57:15.970, 4 %, 11.64 W
2026/03/03 10:57:16.971, 4 %, 11.70 W
2026/03/03 10:57:17.971, 4 %, 10.77 W
2026/03/03 10:57:18.971, 4 %, 11.09 W
2026/03/03 10:57:19.971, 1 %, 10.72 W
2026/03/03 10:57:20.971, 4 %, 10.54 W
2026/03/03 10:57:21.972, 5 %, 10.78 W
2026/03/03 10:57:22.972, 5 %, 10.97 W
2026/03/03 10:57:23.972, 6 %, 10.70 W
2026/03/03 10:57:24.973, 4 %, 11.73 W
2026/03/03 10:57:25.973, 4 %, 10.75 W
2026/03/03 10:57:26.973, 8 %, 11.87 W
2026/03/03 10:57:27.973, 4 %, 10.82 W
2026/03/03 10:57:28.973, 6 %, 8.39 W
2026/03/03 10:57:29.973, 10 %, 6.28 W
2026/03/03 10:57:30.974, 0 %, 10.61 W
2026/03/03 10:57:31.974, 0 %, 10.26 W
2026/03/03 10:57:32.975, 0 %, 10.26 W
2026/03/03 10:57:33.975, 4 %, 11.76 W
2026/03/03 10:57:34.975, 4 %, 11.15 W
2026/03/03 10:57:35.976, 4 %, 11.63 W
2026/03/03 10:57:36.976, 4 %, 11.64 W
2026/03/03 10:57:37.977, 4 %, 10.82 W
2026/03/03 10:57:38.977, 4 %, 10.76 W
2026/03/03 10:57:39.978, 5 %, 10.79 W
2026/03/03 10:57:40.978, 4 %, 10.72 W
2026/03/03 10:57:41.979, 5 %, 10.70 W
2026/03/03 10:57:42.979, 4 %, 10.95 W
2026/03/03 10:57:43.979, 4 %, 10.63 W
2026/03/03 10:57:44.980, 7 %, 10.75 W
2026/03/03 10:57:45.980, 4 %, 11.73 W
2026/03/03 10:57:46.980, 4 %, 10.68 W
2026/03/03 10:57:47.980, 20 %, 11.37 W
2026/03/03 10:57:48.980, 4 %, 11.23 W
2026/03/03 10:57:49.981, 6 %, 8.58 W
2026/03/03 10:57:50.981, 5 %, 5.66 W
2026/03/03 10:57:51.981, 4 %, 8.50 W
2026/03/03 10:57:52.982, 0 %, 10.33 W
2026/03/03 10:57:53.982, 0 %, 10.25 W
2026/03/03 10:57:54.983, 0 %, 10.25 W
2026/03/03 10:57:55.983, 4 %, 11.73 W
2026/03/03 10:57:56.983, 3 %, 11.11 W
2026/03/03 10:57:57.984, 4 %, 11.61 W
2026/03/03 10:57:58.984, 4 %, 11.62 W
2026/03/03 10:57:59.984, 4 %, 11.01 W
2026/03/03 10:58:00.984, 5 %, 11.01 W
2026/03/03 10:58:01.984, 4 %, 10.99 W
2026/03/03 10:58:02.984, 5 %, 10.71 W
2026/03/03 10:58:03.985, 5 %, 10.74 W
2026/03/03 10:58:04.985, 4 %, 10.75 W
2026/03/03 10:58:05.985, 6 %, 10.96 W
2026/03/03 10:58:06.986, 4 %, 10.94 W
2026/03/03 10:58:07.987, 4 %, 10.66 W
2026/03/03 10:58:08.987, 4 %, 10.99 W
2026/03/03 10:58:09.987, 11 %, 11.85 W
2026/03/03 10:58:10.988, 2 %, 10.65 W
2026/03/03 10:58:11.988, 7 %, 8.43 W
2026/03/03 10:58:12.988, 5 %, 5.72 W
2026/03/03 10:58:13.988, 0 %, 9.11 W
2026/03/03 10:58:14.989, 0 %, 10.28 W
2026/03/03 10:58:15.989, 0 %, 10.28 W
