Linux 6.17.0-14-generic (IS-WiN-PC14) 	03/06/2026 	_x86_64_	(32 CPU)

05:35:50 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:35:51 PM  all   10.91    0.00    1.28    0.13    0.00    0.00    0.00    0.00    0.00   87.68
05:35:51 PM    0   10.10    0.00    4.04    0.00    0.00    0.00    0.00    0.00    0.00   85.86
05:35:51 PM    1    9.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   90.00
05:35:51 PM    2   10.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
05:35:51 PM    3    8.91    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   90.10
05:35:51 PM    4   37.00    0.00   12.00    0.00    0.00    0.00    0.00    0.00    0.00   51.00
05:35:51 PM    5   10.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
05:35:51 PM    6   29.70    0.00   12.87    0.99    0.00    0.00    0.00    0.00    0.00   56.44
05:35:51 PM    7    8.08    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.92
05:35:51 PM    8   10.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
05:35:51 PM    9    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
05:35:51 PM   10    9.80    0.00    0.98    1.96    0.00    0.00    0.00    0.00    0.00   87.25
05:35:51 PM   11    8.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
05:35:51 PM   12    8.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
05:35:51 PM   13    8.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.09
05:35:51 PM   14    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
05:35:51 PM   15    8.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   92.00
05:35:51 PM   16   10.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   89.90
05:35:51 PM   17    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
05:35:51 PM   18   11.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   88.89
05:35:51 PM   19    9.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
05:35:51 PM   20   11.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
05:35:51 PM   21   10.10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   89.90
05:35:51 PM   22    8.91    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.09
05:35:51 PM   23    9.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
05:35:51 PM   24   10.10    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   88.89
05:35:51 PM   25   10.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.00
05:35:51 PM   26    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
05:35:51 PM   27    9.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.00
05:35:51 PM   28   10.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
05:35:51 PM   29   11.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   88.00
05:35:51 PM   30    9.09    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.91
05:35:51 PM   31    9.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00

05:35:51 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:35:52 PM  all    3.91    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   95.43
05:35:52 PM    0    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
05:35:52 PM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:35:52 PM    2    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
05:35:52 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:35:52 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:35:52 PM    5   69.31    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   29.70
05:35:52 PM    6   11.11    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   87.88
05:35:52 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:35:52 PM    8    3.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
05:35:52 PM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:35:52 PM   10    3.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.97
05:35:52 PM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:35:52 PM   12    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
05:35:52 PM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:35:52 PM   14    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
05:35:52 PM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:35:52 PM   16    2.97    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   95.05
05:35:52 PM   17    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
05:35:52 PM   18    2.97    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   96.04
05:35:52 PM   19    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
05:35:52 PM   20    2.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
05:35:52 PM   21    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
05:35:52 PM   22    3.03    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   95.96
