timestamp, index, name, pstate, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pcie.link.gen.current, pcie.link.gen.max, pcie.link.width.current, pcie.link.width.max
2026/03/06 17:35:43.037, 0, NVIDIA GeForce RTX 4090, P0, 70.15 W, 41, 2730 MHz, 10501 MHz, 1 %, 0 %, 387 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:43.239, 0, NVIDIA GeForce RTX 4090, P0, 70.15 W, 41, 2730 MHz, 10501 MHz, 1 %, 0 %, 387 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:43.440, 0, NVIDIA GeForce RTX 4090, P0, 70.15 W, 41, 2730 MHz, 10501 MHz, 1 %, 0 %, 390 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:43.643, 0, NVIDIA GeForce RTX 4090, P0, 70.15 W, 41, 2730 MHz, 10501 MHz, 0 %, 0 %, 22539 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:43.843, 0, NVIDIA GeForce RTX 4090, P0, 70.15 W, 41, 2730 MHz, 10501 MHz, 0 %, 0 %, 22539 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:44.043, 0, NVIDIA GeForce RTX 4090, P2, 59.60 W, 41, 2520 MHz, 10251 MHz, 2 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:44.243, 0, NVIDIA GeForce RTX 4090, P2, 59.60 W, 41, 2520 MHz, 10251 MHz, 2 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:44.443, 0, NVIDIA GeForce RTX 4090, P2, 59.60 W, 41, 2520 MHz, 10251 MHz, 2 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:44.643, 0, NVIDIA GeForce RTX 4090, P2, 58.17 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:44.844, 0, NVIDIA GeForce RTX 4090, P2, 58.17 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:45.044, 0, NVIDIA GeForce RTX 4090, P2, 60.62 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:45.244, 0, NVIDIA GeForce RTX 4090, P2, 60.62 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:45.445, 0, NVIDIA GeForce RTX 4090, P2, 60.62 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:45.645, 0, NVIDIA GeForce RTX 4090, P2, 60.35 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:45.847, 0, NVIDIA GeForce RTX 4090, P2, 60.35 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:46.047, 0, NVIDIA GeForce RTX 4090, P2, 59.91 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:46.247, 0, NVIDIA GeForce RTX 4090, P2, 59.91 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:46.448, 0, NVIDIA GeForce RTX 4090, P2, 59.91 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:46.648, 0, NVIDIA GeForce RTX 4090, P2, 59.30 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:46.849, 0, NVIDIA GeForce RTX 4090, P2, 59.30 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:47.049, 0, NVIDIA GeForce RTX 4090, P2, 59.21 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:47.249, 0, NVIDIA GeForce RTX 4090, P2, 59.21 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:47.450, 0, NVIDIA GeForce RTX 4090, P2, 59.21 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:47.650, 0, NVIDIA GeForce RTX 4090, P2, 59.33 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:47.850, 0, NVIDIA GeForce RTX 4090, P2, 59.33 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:48.051, 0, NVIDIA GeForce RTX 4090, P2, 63.26 W, 43, 2520 MHz, 10251 MHz, 26 %, 14 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:48.251, 0, NVIDIA GeForce RTX 4090, P2, 63.26 W, 43, 2520 MHz, 10251 MHz, 26 %, 14 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
