timestamp, index, name, pstate, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pcie.link.gen.current, pcie.link.gen.max, pcie.link.width.current, pcie.link.width.max
2026/03/06 17:35:36.853, 0, NVIDIA GeForce RTX 4090, P0, 69.86 W, 41, 2730 MHz, 10501 MHz, 0 %, 0 %, 388 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:37.057, 0, NVIDIA GeForce RTX 4090, P0, 69.86 W, 41, 2730 MHz, 10501 MHz, 0 %, 0 %, 388 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:37.258, 0, NVIDIA GeForce RTX 4090, P0, 69.86 W, 41, 2730 MHz, 10501 MHz, 0 %, 0 %, 782 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:37.466, 0, NVIDIA GeForce RTX 4090, P0, 69.86 W, 41, 2730 MHz, 10501 MHz, 0 %, 0 %, 22540 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:37.666, 0, NVIDIA GeForce RTX 4090, P2, 71.24 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22542 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:37.866, 0, NVIDIA GeForce RTX 4090, P2, 71.24 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22542 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:38.066, 0, NVIDIA GeForce RTX 4090, P2, 67.49 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22542 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:38.266, 0, NVIDIA GeForce RTX 4090, P2, 67.49 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22542 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:38.467, 0, NVIDIA GeForce RTX 4090, P2, 67.49 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22542 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:38.667, 0, NVIDIA GeForce RTX 4090, P2, 61.48 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22542 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:38.867, 0, NVIDIA GeForce RTX 4090, P2, 61.48 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22542 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:39.067, 0, NVIDIA GeForce RTX 4090, P2, 60.51 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22542 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:39.267, 0, NVIDIA GeForce RTX 4090, P2, 60.51 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22542 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:39.468, 0, NVIDIA GeForce RTX 4090, P2, 60.51 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22542 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:39.668, 0, NVIDIA GeForce RTX 4090, P2, 60.20 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:39.869, 0, NVIDIA GeForce RTX 4090, P2, 60.20 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:40.069, 0, NVIDIA GeForce RTX 4090, P2, 59.68 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:40.270, 0, NVIDIA GeForce RTX 4090, P2, 59.68 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:40.470, 0, NVIDIA GeForce RTX 4090, P2, 59.68 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:40.670, 0, NVIDIA GeForce RTX 4090, P2, 59.47 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:40.870, 0, NVIDIA GeForce RTX 4090, P2, 59.47 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:35:41.070, 0, NVIDIA GeForce RTX 4090, P2, 70.32 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 387 MiB, 24564 MiB, 4, 4, 16, 16
