#Date        Time         gpu  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx   MB/s   MB/s 
 20260306    17:37:04       0      3      1 
 20260306    17:37:05       0     16      2 
 20260306    17:37:06       0     43      2 
 20260306    17:37:07       0      6      0 
 20260306    17:37:08       0      1      4 
 20260306    17:37:09       0      6      0 
 20260306    17:37:10       0      4      0 
 20260306    17:37:11       0      1      4 
 20260306    17:37:12       0      4      0 
 20260306    17:37:14       0      0      1 
 20260306    17:37:15       0      2      0 
