timestamp, index, name, pstate, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], pcie.link.gen.current, pcie.link.gen.max, pcie.link.width.current, pcie.link.width.max
2026/03/06 17:36:26.428, 0, NVIDIA GeForce RTX 4090, P0, 70.14 W, 41, 2730 MHz, 10501 MHz, 0 %, 0 %, 456 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:26.631, 0, NVIDIA GeForce RTX 4090, P0, 70.14 W, 42, 2730 MHz, 10501 MHz, 3 %, 0 %, 456 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:26.832, 0, NVIDIA GeForce RTX 4090, P0, 70.14 W, 42, 2730 MHz, 10501 MHz, 3 %, 0 %, 475 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:27.036, 0, NVIDIA GeForce RTX 4090, P2, 71.42 W, 42, 2730 MHz, 10251 MHz, 3 %, 0 %, 22539 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:27.236, 0, NVIDIA GeForce RTX 4090, P2, 71.42 W, 42, 2730 MHz, 10251 MHz, 3 %, 0 %, 22539 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:27.436, 0, NVIDIA GeForce RTX 4090, P2, 71.42 W, 42, 2730 MHz, 10251 MHz, 3 %, 0 %, 22541 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:27.637, 0, NVIDIA GeForce RTX 4090, P2, 67.98 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22548 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:27.837, 0, NVIDIA GeForce RTX 4090, P2, 67.98 W, 41, 2520 MHz, 10251 MHz, 0 %, 0 %, 22548 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:28.037, 0, NVIDIA GeForce RTX 4090, P2, 62.96 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22529 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:28.237, 0, NVIDIA GeForce RTX 4090, P2, 62.96 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22529 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:28.438, 0, NVIDIA GeForce RTX 4090, P2, 62.96 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22523 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:28.638, 0, NVIDIA GeForce RTX 4090, P2, 60.60 W, 41, 2520 MHz, 10251 MHz, 4 %, 0 %, 22523 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:28.838, 0, NVIDIA GeForce RTX 4090, P2, 60.60 W, 41, 2520 MHz, 10251 MHz, 4 %, 0 %, 22523 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:29.038, 0, NVIDIA GeForce RTX 4090, P2, 60.47 W, 41, 2520 MHz, 10251 MHz, 2 %, 0 %, 22501 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:29.238, 0, NVIDIA GeForce RTX 4090, P2, 60.47 W, 41, 2520 MHz, 10251 MHz, 2 %, 0 %, 22501 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:29.439, 0, NVIDIA GeForce RTX 4090, P2, 60.47 W, 41, 2520 MHz, 10251 MHz, 2 %, 0 %, 22501 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:29.639, 0, NVIDIA GeForce RTX 4090, P2, 59.92 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22501 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:29.839, 0, NVIDIA GeForce RTX 4090, P2, 59.92 W, 41, 2520 MHz, 10251 MHz, 1 %, 0 %, 22501 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:30.039, 0, NVIDIA GeForce RTX 4090, P2, 59.38 W, 41, 2520 MHz, 10251 MHz, 2 %, 0 %, 22492 MiB, 24564 MiB, 4, 4, 16, 16
2026/03/06 17:36:30.239, 0, NVIDIA GeForce RTX 4090, P2, 59.38 W, 41, 2520 MHz, 10251 MHz, 2 %, 0 %, 22492 MiB, 24564 MiB, 4, 4, 16, 16
